Tool	Repository
badger	badger@CRAN
DeLorean	DeLorean@PyPI
DeLorean	Delorean@PyPI
anchor	anchor@PyPI
BASIC	Basic@PyPI
BASiCS	basics@PyPI
CellRanger	cellranger@CRAN
DECENT	decent@PyPI
GRM	grm@PyPI
LEAP	leap@PyPI
MAGIC	magic@CRAN
MAGIC	magic@PyPI
MAST	MAST@PyPI
MATCHER	matcher@PyPI
MERLoT	Merlot@PyPI
MFA	mfa@PyPI
Monocle	monocle@PyPI
Mpath	mpath@CRAN
NetworkInference	NetworkInference@CRAN
PIVOT	pivot@PyPI
PIVOT	pivot@CRAN
RCA	RCA@CRAN
RCA	rca@PyPI
reCAT	recat@PyPI
SAFE	safe@Bioc
SAFE	Safe@PyPI
SAIC	sAIC@CRAN
sake	sake@PyPI
SC3	sc3@PyPI
SCALE	Scale@CRAN
SCALE	scale@PyPI
SCell	scell@PyPI
SCENT	scent@PyPI
SCIMITAR	Scimitar@PyPI
scRutiNy	Scrutiny@PyPI
SCUBA	scuba@CRAN
SCUBA	scuba@PyPI
SEPA	sepa@PyPI
Sharq	SharQ@PyPI
slalom	slalom@PyPI
SLICE	slice@PyPI
slingshot	slingshot@PyPI
SPADE	SPADE@PyPI
SPADE	spade@PyPI
SPRING	spring@PyPI
TraCeR	tracer@CRAN
TraCeR	tracer@PyPI
UNCURL	uncurl@PyPI
Wishbone	wishbone@PyPI
DISCO	Disco@PyPI
DISCO	disco@Conda
DISCO	disco@CRAN
DISCO	disco@PyPI
BALDR	baldr@PyPI
DCA	DCA@CRAN
HoneyBADGER	honeybadger@PyPI
ACTION	action@PyPI
STREAM	stream@CRAN
STREAM	stream@PyPI
CONICS	conics@CRAN
BCseq	bcSeq@Bioc
scVAE	scvae@PyPI
Citrus	citrus@PyPI
salmon	salmon@PyPI
SCope	scope@PyPI
MOFA	mofa@PyPI
MuSiC	music@PyPI
MuSiC	music@CRAN
TCM	tcm@PyPI
CaSTLe	castle@PyPI
Harmony	Harmony@PyPI
LIGER	liger@CRAN
SHARP	sharp@PyPI
ASAP	asap@PyPI
DECODE	decode@CRAN
DECODE	decode@PyPI
FiRE	fire@PyPI
SIP	SIP@PyPI
SIP	sip@Conda
scID	scid@PyPI
VIPER	viper@Bioc
VIPER	Viper@PyPI
bustools	bustools@PyPI
pyNVR	pynvr@PyPI
VISION	vision@PyPI
SOUP	SOUP@CRAN
SOUP	soup@PyPI
STAR	STAR@CRAN
STAR	star@PyPI
DESC	desc@CRAN
LAmbDA	lambda@PyPI
Granatum	Granatum@PyPI
CSN	csn@CRAN
SCOUT	scout@CRAN
SCOUT	scout@PyPI
AutoImpute	autoimpute@PyPI
CellO	cello@PyPI
SCRABBLE	scrabble@PyPI
Scribe	scribe@PyPI
Spectrum	spectrum@PyPI
COMET	coMET@Bioc
COMET	Comet@PyPI
MUSIC	music@CRAN
MUSIC	music@PyPI
OnlinePCA	onlinePCA@CRAN
Bisque	bisque@CRAN
Dynamo	dynamo@CRAN
Dynamo	dynamo@PyPI
signac	signac@PyPI
Wx	wx@PyPI
BraCeR	bracer@CRAN
BIRD	bird@PyPI
Garnett	garnett@PyPI
