Tool	Platform	Code	Description	License	Added	Updated
acorde	R	https://github.com/ConesaLab/acorde	Isoform co-usage networks from single-cell RNA-seq data	GPL-3.0	2021-05-14	2021-05-14
ACTINN	Python	https://github.com/mafeiyang/ACTINN	ACTINN (Automated Cell Type Identification using Neural Networks) is a bioinformatic tool to quickly and accurately identify cell types in scRNA-Seq.	GPL-3.0	2019-02-01	2021-06-28
ACTION	C++/R/MATLAB	http://compbio.mit.edu/ACTION	ACTION infers the functional identity of cells from their transcriptional profile, classifies them based on their dominant function, and reconstructs regulatory networks that are responsible for mediating their identity.	NA	2018-04-23	2021-06-28
ACTIONet	R/C++	https://github.com/shmohammadi86/ACTIONet	Robust multi-resolution analysis of single-cell datasets	GPL-2.0-or-later	2019-12-10	2021-06-11
ACTIVA	Python	https://github.com/SindiLab/ACTIVA	Realistic scRNAseq Generation with Automatic Cell-Type identification using Introspective Variational Autoencoders	MIT	2021-02-05	2022-03-04
activeSVC	Python	https://github.com/xqchen/activeSVC	ActiveSVC selects features for large matrix data with reduced computational complexity or limited data acquisition. It approaches Sequential Feature Selection through an active learning strategy with a support vector machine classifier.	GPL-3.0	2022-02-18	2022-02-18
ADC	Python	https://github.com/zhanglabtools/ADC	ADC is an efficient method to identify highly interrelated genes across datasets	NA	2021-11-20	2021-11-20
ADClust	Python	https://github.com/biomed-AI/ADClust	A Parameter-free Deep Embedded Clustering Method for Single-cell RNA-seq Data	NA	2022-01-06	2022-01-06
ADImpute	R	https://github.com/beyergroup/ADImpute	ADImpute predicts unmeasured gene expression values from single cell RNA-sequencing data (dropout imputation)	GPL-3.0	2020-10-30	2022-03-04
adobo	Python	https://github.com/oscar-franzen/adobo	adobo is a Python-framework for single cell gene expression data analysis	GPL-3.0	2020-05-05	2020-05-05
aggregateBioVar	R	https://github.com/jasonratcliff/aggregateBioVar	aggregateBioVar provides tools to summarize summarize single cell gene expression profiles at the level of samples (i.e., subjects) or populations	GPL-3.0	2020-10-30	2021-05-21
airpart	R	https://github.com/Wancen/airpart	Differential allelic imbalance partition across group of cells	GPL-2.0	2021-05-21	2021-05-21
aLDG	R	https://github.com/JINJINT/aLDG	aLDG is an R package for the computing bivariate dependence measure, including dozens of canonical methods and state-of art methods	GPL-3.0	2022-03-18	2022-03-18
alevin-fry	Rust	https://github.com/COMBINE-lab/alevin-fry	alevin-fry is a tool for the accurate, fast and memory frugal pre-processing of single-cell and single-nucleus RNA-seq data	BSD-3-Clause	2021-05-21	2022-04-01
alevinQC	R	https://github.com/csoneson/alevinQC	Generate QC reports summarizing the output from an alevin run	MIT	2019-05-31	2019-05-31
ALRA	R	https://github.com/KlugerLab/ALRA	ALRA is a method for imputation of missing values in single cell RNA-sequencing data	MIT	2018-08-31	2022-01-22
AltAnalyze	Python	https://github.com/nsalomonis/altanalyze	AltAnalyze is a multi-functional and easy-to-use software package for automated single-cell and bulk gene and splicing analyses.	Apache-2.0	2017-07-16	2018-11-12
anchor	Python	https://github.com/yeolab/anchor	Find bimodal, unimodal, and multimodal features in your data	BSD-3-Clause	2016-09-08	2017-07-16
APL	R/Python	https://github.com/VingronLab/APL	APL is a package developed for computation of Association Plots, a method for visualization and analysis of single cell transcriptomics data	GPL-3.0	2022-03-18	2022-03-18
ASAP	R/Python	https://github.com/DeplanckeLab/ASAP	ASAP : Automated Single-cell Analysis Pipeline	GPL-3.0	2018-11-12	2020-06-05
Asc-Seurat	R	https://github.com/KirstLab/asc_seurat	Analytical single-cell Seurat-based web application	GPL-3.0	2021-03-26	2021-11-27
ascend	R	https://github.com/powellgenomicslab/ascend	Analysis of Single Cell Expresssion Normalisation and Differential Expression	GPL-3.0	2017-11-20	2019-09-23
ASURAT	R	https://github.com/keita-iida/ASURAT	ASURAT is a single-cell RNA sequencing (scRNA-seq) data analysis pipeline, developed for simultaneously clustering cells and biological interpretation	GPL-3.0	2021-06-11	2022-01-21
AUCell	R	https://github.com/aertslab/AUCell	AUCell is an R-package to analyze the state of gene-sets in single-cell RNA-seq data (i.e. identify cells with active gene signatures).	Custom	2017-06-26	2018-05-13
Augur	R	https://github.com/neurorestore/Augur	Augur is an R package to prioritize cell types involved in the response to an experimental perturbation within high-dimensional single-cell data.	MIT	2020-01-02	2021-07-02
AutoClass	Python	https://github.com/datapplab/AutoClass	AutoClass is a neural network-based tool for scRNA-Seq data imputation	GPL-3.0	2020-12-12	2022-03-18
