Name,Platform,DOIs,PubDates,Code,Description,License,Assembly,Alignment,UMIs,Quantification,QualityControl,Normalisation,Imputation,Integration,GeneFiltering,Clustering,Classification,Ordering,DifferentialExpression,MarkerGenes,ExpressionPatterns,VariableGenes,GeneSets,GeneNetworks,CellCycle,DimensionalityReduction,Transformation,Modality,AlternativeSplicing,RareCells,StemCells,Immune,Variants,Haplotypes,AlleleSpecific,Visualisation,Interactive,Simulation,Added,Updated
ACTION,C++/R/MATLAB,10.1038/s41467-018-03933-2,17/04/2018,https://github.com/shmohammadi86/ACTION,"ACTION infers the functional identity of cells from their transcriptional profile, classifies them based on their dominant function, and reconstructs regulatory networks that are responsible for mediating their identity.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23/04/2018,23/04/2018
ALRA,R,10.1101/397588,PREPRINT,https://github.com/KlugerLab/ALRA,ALRA is a method for imputation of missing values in single cell RNA-sequencing data,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31/08/2018,31/08/2018
AltAnalyze,Python,10.1038/nature19348;10.1101/412080,2016-08-31;PREPRINT,https://github.com/nsalomonis/altanalyze,AltAnalyze is a multi-functional and easy-to-use software package for automated single-cell and bulk gene and splicing analyses.,Apache-2.0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,16/07/2017,12/11/2018
anchor,Python,10.1016/j.molcel.2017.06.003,29/06/2017,https://github.com/yeolab/anchor,"Find bimodal, unimodal, and multimodal features in your data",BSD-3-clause,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/09/2016,16/07/2017
ASAP,R/Python,10.1101/096222;10.1093/bioinformatics/btx337,PREPRINT;2017-10-01,https://github.com/DeplanckeLab/ASAP,ASAP : Automated Single-cell Analysis Pipeline,GPL-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12/11/2018,12/11/2018
ascend,R,10.1101/207704,PREPRINT,https://github.com/IMB-Computational-Genomics-Lab/ascend,Analysis of Single Cell Expresssion Normalisation and Differential Expression,GPL-3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20/11/2017,20/11/2017
AUCell,R,10.1101/144501;10.1038/nmeth.4463,PREPRINT;2017-10-09,https://github.com/aertslab/AUCell,AUCell is an R-package to analyze the state of gene-sets in single-cell RNA-seq data (i.e. identify cells with active gene signatures).,Custom,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,26/06/2017,13/05/2018
AutoImpute,Python/R,10.1038/s41598-018-34688-x,5/11/2018,https://github.com/divyanshu-talwar/AutoImpute,AutoImpute: Autoencoder based imputation of single cell RNA-seq data,MIT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/11/2018,9/11/2018
BackSPIN,Python,10.1126/science.aaa1934,6/03/2015,https://github.com/linnarsson-lab/BackSPIN,Biclustering algorithm developed taking into account intrinsic features of single-cell RNA-seq experiments.,BSD 2-clause,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/09/2016,8/09/2016
badger,R,,,https://github.com/JEFworks/badger,Bayesian approach for detecting copy number alterations from single cell RNA-seq data,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5/06/2017,5/06/2017
BALDR,Perl,10.1186/s13073-018-0528-3,20/03/2018,https://github.com/BosingerLab/BALDR,BALDR is a pipeline for reconstructing human or rhesus macaque immunoglobulin(Ig)/B cell receptor(BCR) sequences from single cell RNA-Seq data generated by Illumina sequencing.,MIT,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4/04/2018,4/04/2018
BAMMSC,R,10.1101/392662,PREPRINT,https://www.pitt.edu/~wec47/BAMMSC.html,BAMMSC is an R package for clustering droplet-based single cell transcriptomic data from multiple individuals simultaneously.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/11/2018,12/11/2018
BASIC,Python,10.1093/bioinformatics/btw631,28/09/2016,http://ttic.uchicago.edu/~aakhan/BASIC/,BASIC is a semi-de novo assembly method to determine the full-length sequence of the BCR in single B cells from scRNA-seq data.,MIT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10/10/2016,9/09/2017
